,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
595,Челябинск,741 Studios,не указаны,23 сентября 2020," We are currently looking for a Senior Automation QA to develop and execute exploratory and automated tests to ensure product quality. If you have an engineering background and enjoy providing end-to-end solutions to software quality problems, we’d really like to meet you. About Exadel: Since 1998 Exadel has been engineering its own software products and custom software for clients of all sizes. Headquartered in Walnut Creek, California, Exadel currently has 1000+ employees in development centers across America, Europe and Asia. About the Customer: The Customer solves the most complex and large-scale identity use cases for global enterprises with his extensible and easy-to-integrate platform, securing billions of logins every year. Employees located in over 30 countries. The platform is a flexible, drop-in solution to add authentication and authorization services to applications. Client’s team and organization can avoid the cost, time, and risk that comes with building an own solution to authenticate and authorize users. A user can connect any application (written in any language or on any stack) to the Customer’s platform and define the identity providers he wants to use (how he wants his users to log in). A client chooses one of the Customer’s SDKs (or call API), and hooks it up to his app. Each time a user tries to authenticate, the Customer’s platform will verify the user's identity and send the required information back to the Client’s app. Current Project Stage: The functionalities that are being tested on the project are: Authentication - authentication through social platforms, take different paths through the login flows, hook in to customer databases for authentication, 2FA; Anomaly Detection - brute force attacks, credential stuffing, integrating with other identity providers, also Auth0 is identity providers; User Management - searches over the users, user management; Authorization (scopes, user groups) - hooks and rules to extend authentication flow, hooks into lifecycle, route differently based on this rules; Compliance Rules. Requirements: 3+ years of experience in building and maintenance of automation frameworks Experience with JavaScript language Good knowledge Mocha Hands on experience with Cypress.io, Codecept.js Knowledge of Jest Significant knowledge of test case design techniques Understanding of test framework layers Passion for testing and an aspiration to deliver high-quality products English level: Intermediate+ Nice to have: Bachelor’s degree in Computer Science or equivalent experience Responsibilities: Provide the best quality tests Create plans, test scenarios, test cases and test reports Active participation in the software development process, cooperation with programmers, analysts and administrators Develop and improve a set of methodologies, procedures and tools used in the field of testing Execute and monitor results of automated suites within CI infrastructure Create technical and utility documentation Work with Jira (issues creation/verification) Benefits: Attractive salary — we reward your commitment to our company Personal development — we understand that life-long learning is important and support everything that encourages a personal willingness to learn Language classes with a native speaker Flexible work schedule — a good work-life balance is the most important prerequisite for being creative and productive Friendly work environment Interesting job in an innovative company with the latest technologies Collaboration with a team full of interesting people As a successful, high-growth company, we know that our employees are critical to our success. This is why we encourage ingenuity, creativity and teamwork as important elements to the growth of our business. We believe that career growth and business growth go hand in hand. ",не указано,3–6 лет,Senior Automation QA (JS),,,61250.0,полный день,"Английский — B2 — Средне-продвинутый,JavaScript,Mocha,Jest,QA",Полная занятость,https://tyumen.hh.ru/vacancy/39393008,36
630,Челябинск,ГК «ВИЗАВИ Консалт»,не указаны,22 сентября 2020," Наш клиент – один из лидеров автоматизации систем управления в транспортной сфере, приглашает в новейший R&amp;D центр в Сочи инженеров группы функционального тестирования. Требования: понимание методологии разработки программного обеспечения понимание методологий тестировании опыт написания тестовой документации (тест-кейсы, тест-планы) желателен опыт работы с системами управления тестовой документацией (типа testrail, testlink, redmine и тп) опыт работы с системами учета дефектов иметь понимание жизненного цикла дефекта опыт консалтинга по продуктам 1С будет плюсом опыт работы с sql будет плюсом большой плюс, но не обязателен опыт с одним или несколькими инструментами автоматизации тестирования (Selenium, JMeter, и т.п.) желательно знание английского языка на уровне не ниже Intermediate. Обязанности: проведение функционального тестирования (ручного и автоматического) разработка и поддержание актуальности тест кейсов документирование и анализ результатов тестирования создание отчетов по результатам тестирования документирование дефектов в системе управления дефектами; Условия: Оклад+годовой бонус, итоговые суммы обсуждаются с успешными кандидатами Релокационный бонус в размере оклада Компенсация проживания Работа в динамичной команде единомышленников Компенсация ДМС после прохождения ИС Скидки на ДМС для родственников Лучшая экология и климат в России Море и горнолыжный курорт рядом Свежие фрукты и овощи круглый год :) Возможность менять целую отрасль с использованием новых технологий Новый просторный офис, оргтехника Компенсация мобильной связи ",не указано,1–3 года,Инженер по функциональному тестированию/QA специалист," , , , , , , , , , , , , , , , , , , , ",,61250.0,полный день,"SQL,Функциональное тестирование,Redmine,Английский язык,MS SQL",Полная занятость,https://tyumen.hh.ru/vacancy/39371766,37
647,Магнитогорск,ANCOR FinTech,не указаны,5 октября 2020," В крупный банк ищем специалистов на вакансию Специалистов по тестированию С чем придется работать: Проведение модульного, регрессионного, интеграционного тестирования. Тематика деятельности: депозитно-кредитные операции, финансовые рынки - рынок ценных бумаг, акций, производных финансовых инструментов, валютный рынок, денежный рынок, драг. металлов. Подготовка и согласование документов по тестированию ПО. Взаимодействие с подрядчиками и смежными подразделениями при согласовании документации. Подготовка и настройка тестовых сред Необходимые знания и опыт работы Высшее техническое образование; Знание теории тестирования; Опыт работы в тестировании от 2-х лет; Опыт подготовки в написании совместно с аналитиком тест-кейсов, юз-кейсов, программ и методики испытаний, планов тестирований; Документирование найденных ошибок, написание тест-репортов; Навыки коммуникаций с заказчиками и смежными подразделениями при согласовании документов. Будет плюсом: Опыт работы с Selenium, навыки написания автотестов на Python, знание SQL. И бонусом от нас: Возможность участвовать в разработке крутых проектов Шанс присоединиться к удивительной команде молодых и талантливых единомышленников Возможность развиваться в личностном и профессиональном планах Мы предлагаем: работу в крупной стабильной организации и получение опыта работы в МЕГАРЕГУЛЯТОРЕ; возможность профессионального развития в команде лучших экспертов своего направления; достойный уровень дохода, включающий систему премирования, надбавки, расширенный социальный пакет (ДМС после успешного прохождения испытательного срока); насыщенную корпоративную жизнь, наличие спортивного зала и организованного питания на территории места работы; гибкий график работы Внимание: данная вакансия подразумевает переезд в Екатеринбург ",не указано,1–3 года,Специалист по тестированию (г. Екатеринбург),,,,полный день,Тестирование,Полная занятость,https://tyumen.hh.ru/vacancy/36973925,24
650,Челябинск,Областной аптечный склад,не указаны,25 сентября 2020," Обязанности: Развитие и поддержка существующего программного продукта, разработка новых шаблонов отчетов и форм; Проведение регрессионного тестирования новых версий; Анализ причин возникновения ошибок в программе и поиск способов их устранения; Актуализация документации к программному продукту. Требования: Высшее или среднее специальное (точные науки, естественные науки); Опыт работы программистом или тестировщиком ПО; Профессиональный опыт работы с одним из современных языков программирования. Желателен опыт работы с RAD Studio Delphi и знакомство с принципами функционирования систем построения отчетов, таких как FastReport, CrystalReports, Система Компоновки Данных; Начальные знания SQL для получения отчетов из СУБД PostgreSQL, SQL Anywhere и MS SQL Server; Опыт разработки клиент-серверных приложений; Знание английского языка на уровне, достаточном для чтения технической документации; Умение создавать удобные пользовательские интерфейсы и наглядные отчетные формы; Грамотная письменная речь; Внимание к деталям для.анализа причин возникновения ошибок в программе и поиск способов их устранения. Условия: работа в крупной стабильной компании; оформление в соответствии с ТК РФ (оплачиваемые отпуска, больничные); своевременная «белая» заработная плата 2 раза в месяц; ДМС, корпоративная сотовая связь корпоративное обучение; график работы - 5 дневная рабочая неделя с 8:30 до 17:30 (в пятницу до 16:15); место работы - Северо-Крымская,20. ",не указано,1–3 года,Разработчик-тестировщик,"Высшее или среднее специальное (точные науки, естественные науки);,Опыт работы программистом или тестировщиком ПО;, , , , , , , , , , , , , , ",,61250.0,полный день,"Английский — A2 — Элементарный,MS SQL Server,PostgreSQL,Delphi,SQL,MS SQL,FastReport,Crystal Reports,СУБД",Полная занятость,https://tyumen.hh.ru/vacancy/37780874,34
669,Челябинск,Bell Integrator,не указаны,14 октября 2020," Bell Integrator – международная компания, предоставляющая традиционные технологические услуги и инновационные сервисы. С 2003 года мы предоставляем клиентам широкий спектр сервисов и решений в области инновационных технологий. ОБЯЗАННОСТИ: Проведение функционального и интеграционного тестирования (банковское / финансовое ПО) Написание тест кейсов, тестовых сценариев Заведение / ретест дефектов в багтрекинговой системе Коммуникация со смежными подразделениями (разработка, аналитика) Формирование отчетности по результатам тестирования ТРЕБОВАНИЯ: Опыт работы функциональным тестировщиком от полутора лет для Middle QA, от 2,5 лет Senior QA Знание основных технологий и методов тестирования / API Работа с логами Опыт написания тест-кейсов и ревью Умение создавать и актуализировать тестовую модель Базовые знания в области СУБД Знание SQL на уровне написания простых запросов Опыт взаимодействия с разработчиками, аналитиками УСЛОВИЯ: Конкурентная заработная плата Оформление в соответствии с ТК РФ ",не указано,1–3 года,Инженер по тестированию ПО,,,61250.0,полный день,"Функциональное тестирование,SQL,Тестирование,Atlassian Jira,Test case",Полная занятость,https://tyumen.hh.ru/vacancy/39813024,15
727,Челябинск,One Inc. Russia,не указаны,13 октября 2020," Компания One Inc основана в 2006 году в США, в России мы существуем с 2010 года. Мы разрабатываем экосистему продуктов в области InsurTech для рынка США. Наши продукты автоматизируют работу страховых компаний: выписка страховки, процессинг платежей, управление агентствами, аналитика, CRM и другие. В этой области - масса нюансов: особенности законодательства в каждом штате, различающаяся логика выписки страховки у вендоров, классические офлайн офисы и self-driving cars, различающиеся схемы хостинга. Эти нюансы делают работу сложной и заставляют непрерывно учиться новому. Американский офис в Фолсоме, в паре часов езды от Кремниевой долины (штат Калифорния). В России представлены в Новосибирске, Челябинске и Краснодаре. Будем рады принять в команду как опытных тестировщиков, так и любознательных новичков и обеспечить их сложными и интересными задачами. Важно, чтобы было желание развиваться в сторону автоматизации. КАК МЫ РАБОТАЕМ: Минимум бюрократии, плоская структура. Быстро адаптируемся под текущие реалии, пробуем новое. Зрелые процессы, практикуем Agile. Надежный процесс код ревью. Используем Crucible. Полноценное автоматизированное и ручное тестирование. В каждой команде - 1-2 инженера-тестировщика. Над инфраструктурой работает выделенная команда автоматизаторов. Полноценная команда SRE (DevOps) и, как следствие, полный порядок с CI/CD. Наш бизнес растёт, и сейчас нам не хватает в команду Тестировщика. ЗАДАЧИ: Будущему коллеге предстоит заниматься глубоким мануальным тестированием. Функциональным, тестированием производительности, интерфейса, кроссплатформенным. Тестировать предстоит WEB, API, BI-кубы, сервисы репортинга. Помимо непосредственно тестирования, предстоит работать с тестовой документацией. Писать, поддерживать порядок и участвовать в улучшении процессов. ЧТО МЫ ПРЕДЛАГАЕМ: Отличная команда. Наша самая большая ценность и наша гордость. Большой, сложный, интересный, успешный продукт (.NET, ASP.NET Core, SQL, Angular). Возможность приносить пользу - наши продукты делают жизнь людей легче и проще. Гибкий график, отличные бенефиты - уютные офисы, перекусы и кофе, частичная компенсация спорта, ДМC, белая ЗП, отпуск 28 дней. ТРЕБОВАНИЯ: Ключевые критерии, по которым мы поймём, что это тот самый человек: хорошая база, релевантный опыт и умение учиться новому. В случае QA-инженера хорошая база будет включать в себя: Основы и методы тестирования; SQL; Английский, чтобы работать с системой, читать документацию и, при необходимости, общаться по почте с американскими коллегами. У нас большие планы по развитию наших продуктов и компании в целом. И QA-инженер занимает в них важное место. Присоединяйся! ",не указано,3–6 лет,QA engineer/Тестировщик (middle/senior),,,61250.0,гибкий график,,Полная занятость,https://tyumen.hh.ru/vacancy/39675381,16
767,Челябинск,Некстайп,не указаны,7 октября 2020," Кто мы: Мы небольшая, но крутая и активно развивающаяся веб-студия. Существуем на рынке 10 лет. Занимаемся автоматизацией бизнеса внедряем Битрикс24 и amoCRM, наша главная специализация система управления 1С-Битрикс. Мы разрабатываем готовые решения, которые успешно продаются по РФ и во всем СНГ. Мы масштабируемся в связи с этим готовы взять в команду тестировщика ПО Что мы предлагаем: <ol> Возможность тестировать наши продукты, для того, чтобы они стали еще лучше </ol> Мы занимаемся разработкой собственных проектов таких как: Некстайп: Прайм; Некстайп: Магнит; Разработка сайтов с нуля. Разработка индивидуальных обменов с 1С. Ваши задачи будут такие: Ручное тестирование web и мобильных приложений; Создавать автотесты с использованием Selenium; Разрабатывать сценарии тестирования; Вносить обнаруженные недочеты в трекинговую систему; Повторно тестировать проблемные моменты; Анализировать процесс командной разработки; Вести документацию по тестам; 2. Комфортные условия труда. У нас большой, светлый офис в центре города. Рабочее место комфортное, мы не посадим технических специалистов рядом с менеджерами по продажам. В офисе есть удобная кухня, где вы можете пообедать, выпить кофе с печеньем и расслабиться. У нас разноплановый коллектив, каждый найдет в нем что-то свое, у наших коллег много увлечений помимо работы, например, велопрогулки после рабочего дня, кто-то увлекается суккулентами, а для кого-то программирование-это и есть хобби. Мы соблюдаем трудовое законодательство и считаем это в порядке вещей. 3. Обучение и развитие. Мы ценим наших сотрудников, особенно, если вы настроены на развитие. С нашей стороны мы предоставляем корпоративную библиотеку для изучения новой информации. Мы готовы помогать вам в развитии. Самое главное желание от вас - стремиться к обучению и не бояться сложностей. И так же мы готовы рассмотреть на данную позицию новичков, через самостоятельное обучение! Что важно уметь: Soft-skills: Скрупулезность и нацеленность на завершение поставленной задачи; Желание получать новые знания и применять их в своей работе для улучшения ее качества и скорости; Уметь систематизировать свою работу. Быть самостоятельным и быть готовым индивидуально подходить к своему развитию. Ждем ваши резюме! Даже, если вы сомневаетесь, отправляйте отклик, мы рассматриваем всех желающих! ",не указано,1–3 года,QA Engineer (Тестировщик ПО),,,61250.0,полный день,"1С-Битрикс,HTML,CSS,Функциональное тестирование,HTML5,Тестирование,Проведение тестирований,Тестирование пользовательского интерфейса,Веб-программирование,web тестирование,тестирование мобильных приложений",Полная занятость,https://tyumen.hh.ru/vacancy/38678570,22
769,Челябинск,Napoleon IT,"Лучшие баги — от лучших разработчиков =),Официальное трудоустройство;,Пятидневная рабочая неделя;,Обучение и возможность карьерного роста;,Участие в интересных и развивающихся проектах, широкие возможности для самореализации и профессионального роста;, , ",14 октября 2020," Компания Napoleon IT ― разработчик программного обеспечения. Мы предлагаем готовые решения, а также осуществляем разработку по гибкой методологии. Наши решения в области бизнес-аналитики, предиктивной аналитики, компьютерного зрения, высоконагруженных систем и мобильной разработки дают конкурентное преимущество и гарантируют устойчивое развитие бизнеса клиентов. Мы ищем специалиста по тестированию ПО , который поможет сделать наши продукты лучше. Обязанности: Проведение ручного тестирования в проектах мобильных приложений; Предметный анализ проектной документации; Оценка качества работы системы с точки зрения функциональности и соответствия ожиданиям заказчиков; Написание тесткейсов, разработка тестовых спецификаций с использованием различных методик и инструментов тестирования; Проведение тестов согласно тестовым спецификациям; Анализ полученных результатов и подготовка отчетов для отдела разработки. Требования: Опыт ручного тестирования не менее 1 года; Опыт тестирования backend (c#, java); Опыт работы с учетными системами или системами отчетности; Опыт работы с большими объёмами данных; Понимание жизненного цикла разработки ПО; Знания SQL на базовом уровне. Условия: Лучшие баги — от лучших разработчиков =) Официальное трудоустройство; Пятидневная рабочая неделя; Обучение и возможность карьерного роста; Участие в интересных и развивающихся проектах, широкие возможности для самореализации и профессионального роста; Дружеская атмосфера. У нас поощряется открытость, позитив и конструктивная критика. Поэтому комфортно работать как крутым профессионалам, так и начинающим специалистам. ","Проведение ручного тестирования в проектах мобильных приложений;,Предметный анализ проектной документации;,Оценка качества работы системы с точки зрения функциональности и соответствия ожиданиям заказчиков;,Написание тесткейсов, разработка тестовых спецификаций с использованием различных методик и инструментов тестирования;,Проведение тестов согласно тестовым спецификациям;,Анализ полученных результатов и подготовка отчетов для отдела разработки.",1–3 года,Тестировщик ПО (QA Engineer),"Опыт ручного тестирования не менее 1 года;,Опыт тестирования backend (c#, java);,Опыт работы с учетными системами или системами отчетности;,Опыт работы с большими объёмами данных;,Понимание жизненного цикла разработки ПО;,Знания SQL на базовом уровне.",,61250.0,удаленная работа,,Полная занятость,https://tyumen.hh.ru/vacancy/36588706,15
787,Челябинск,Интерсвязь,не указаны,28 сентября 2020," Должностные обязанности: Амбициозный проект: создание и продвижение конструктора мобильного суперприложения и экосистемы lifestyle-сервисов для провайдера. Задачи: контроль метрик качества в рамках проекта, регистрация и отслеживание дефектов, систематизация обнаруженных проблем, подготовка тестовых данных, проведение ручного тестирования, автоматизация тестирования UI\RestAPI: написание авто-тестов, тестовых скриптов, прогоны автоматических тестов, разработка и оптимизация тестовой документации и методик испытаний. Требования: Образование: высшее, среднее профессиональное Знание одного из языков программирования для реализации нагрузочных тестов (C/C++/PHP/Python/Golang) Опыт работы с реляционной БД/написания SQL запросов Опыт ручного тестирования API (soap, restful) Знание основ протокола сетевого взаимодействия TCP/IP Опыт работы с инструментами нагрузочного тестирования Опыт составления тест-планов, тест-кейсов, методики нагрузочного тестирования Опыт функционального автоматизированного и ручного тестирования ПО Владение инструментарием Jmeter, SoapUI, Selenium или Postman Понимание функциональных/нефункциональных требований, спецификации требований Будет плюсом: Понимание принципов построения сервисной архитектуры и веб приложений Знание Linux и опыт в системном администрировании Знание Docker Условия работы: официальное трудоустройство, социальный пакет, пятидневная рабочая неделя с 09-00 до 18-00, комфортный офис, профессиональная команда, корпоративные мероприятия в стиле ЗОЖ. Благодарим всех соискателей, которые направят отклик на данную вакансию. Ваше резюме будет рассмотрено в течение ближайшего времени. ",не указано,1–3 года,QA-инженер,"Образование: высшее, среднее профессиональное,Знание одного из языков программирования для реализации нагрузочных тестов (C/C++/PHP/Python/Golang),Опыт работы с реляционной БД/написания SQL запросов,Опыт ручного тестирования API (soap, restful),Знание основ протокола сетевого взаимодействия TCP/IP,Опыт работы с инструментами нагрузочного тестирования,Опыт составления тест-планов, тест-кейсов, методики нагрузочного тестирования,Опыт функционального автоматизированного и ручного тестирования ПО,Владение инструментарием Jmeter, SoapUI, Selenium или Postman,Понимание функциональных/нефункциональных требований, спецификации требований",,60000.0,полный день,"Linux,SQL,Python,PHP",Полная занятость,https://tyumen.hh.ru/vacancy/39481143,31
808,Челябинск,Game Development Bureau,"Гибкий график, 10:00 - 19:00;,Полное официальное трудоустройство;,Оклад зависит от опыта работы, по результатам собеседования;,Офис в г. Миасс (100 км. от Челябинска);",15 сентября 2020," Обязанности: Тестирование проектов на мобильные платформы Android, iOS, PC; Ведение документации по контролю качества продукта (работа с трекером, мониторинг задач, своевременное реагирование на изменения); Сборка проекта при помощи средств движка Unity 3D на данные платформы (опыт сборки необязателен, но желателен); Выдача лещей и пендалей программистам; Требования: Опыт работы в качестве тестировщика игр/ПО; Терпение, усидчивость, способность повторять одно и то же действие бесконечное количество раз; Большой опыт в компьютерных и мобильных играх; Готовность, к переезду в г. Миасс; Готовность выполнить тестовое задание; Будет плюсом: Опыт в тестировании игр (участие в закрытых альфа/бета тестах); Опыт сборки Android и iOS проектов; Умение работать с adb logcat (например, в составе Android Studio) Условия: Гибкий график, 10:00 - 19:00; Полное официальное трудоустройство; Оклад зависит от опыта работы, по результатам собеседования; Офис в г. Миасс (100 км. от Челябинска); ","Тестирование проектов на мобильные платформы Android, iOS, PC;,Ведение документации по контролю качества продукта (работа с трекером, мониторинг задач, своевременное реагирование на изменения);,Сборка проекта при помощи средств движка Unity 3D на данные платформы (опыт сборки необязателен, но желателен);,Выдача лещей и пендалей программистам;",1–3 года,Тестировщик ПО/Тестер (QA),"Опыт работы в качестве тестировщика игр/ПО;,Терпение, усидчивость, способность повторять одно и то же действие бесконечное количество раз;,Большой опыт в компьютерных и мобильных играх;,Готовность, к переезду в г. Миасс;,Готовность выполнить тестовое задание;",,35000.0,полный день,"QA,Unity,Тестирование,Функциональное тестирование",Полная занятость,https://tyumen.hh.ru/vacancy/39247415,44
